SYMBOL	DATE	TIME	PRICE
ICBC	20000424	10:30:01	11.25
ICOS	20000424	10:30:01	29.125
IDC	20000424	10:30:01	19.4375
IFIN	20000424	10:30:01	60.0625
IM	20000424	10:30:01	18
IMNX	20000424	10:30:01	32.875
INGR	20000424	10:30:01	6.8125
INSP	20000424	10:30:01	50.1875
INTC	20000424	10:30:01	110.75
INTC	20000424	10:30:01	110.75
INTC	20000424	10:30:01	110.75
ITWO	20000424	10:30:01	96.0625
JBOH	20000424	10:30:01	4.875
JDSU	20000424	10:30:01	79.6875
KLAC	20000424	10:30:01	61.875
KNT	20000424	10:30:01	25.125
LNTY	20000424	10:30:01	8.25
MALL	20000424	10:30:01	6.46875
MAN	20000424	10:30:01	35.9375
MAT	20000424	10:30:01	11.25
MDT	20000424	10:30:01	52.625
MEDI	20000424	10:30:01	135
MOT	20000424	10:30:01	106.625
MSFT	20000424	10:30:01	65.875
MSFT	20000424	10:30:01	65.5
MSFT	20000424	10:30:01	65.9375
MTIC	20000424	10:30:01	15.375
MTIC	20000424	10:30:01	15.375
MTIC	20000424	10:30:01	15.375
MYPT	20000424	10:30:01	16
NANO	20000424	10:30:01	31.875
NBCI	20000424	10:30:01	18.25
NETP	20000424	10:30:01	18.875
NITE	20000424	10:30:01	32.9375
NOK	20000424	10:30:01	46
NOVL	20000424	10:30:01	20
NPLI	20000424	10:30:01	9.625
NZRO	20000424	10:30:01	11.625
ONT	20000424	10:30:01	10.25
OPUS	20000424	10:30:01	7.25
ORCL	20000424	10:30:01	68.453125
ORCL	20000424	10:30:01	68.4375
PALM	20000424	10:30:01	28.125
PMCS	20000424	10:30:01	138.125
POCI	20000424	10:30:01	8.75
PUMA	20000424	10:30:01	23.25
RDWR	20000424	10:30:01	20.4375
RDWR	20000424	10:30:01	20.375
RFMD	20000424	10:30:01	80.375
RXSD	20000424	10:30:01	16.375
SEBL	20000424	10:30:01	106.125
SFE	20000424	10:30:01	32.1875
SKO	20000424	10:30:01	18.25
SLR	20000424	10:30:01	42.5
SNWL	20000424	10:30:01	54.125
TEK	20000424	10:30:01	55.75
TWA	20000424	10:30:01	2.0625
TWK	20000424	10:30:01	13
TXN	20000424	10:30:01	140.75
TXN	20000424	10:30:01	140.6875
TXU	20000424	10:30:01	32.875
UPCOY	20000424	10:30:01	32.75
VERT	20000424	10:30:01	41.625
VNTR	20000424	10:30:01	27.4375
VPHM	20000424	10:30:01	13.875
VPHM	20000424	10:30:01	13.875
WCOM	20000424	10:30:01	40.140625
WCS	20000424	10:30:01	10.5625
YHOO	20000424	10:30:01	112.5
YHOO	20000424	10:30:01	112.515625
ACTU	20000424	10:30:02	25.0625
ADSX	20000424	10:30:02	5.84375
AFFX	20000424	10:30:02	115.25
AKAM	20000424	10:30:02	75
AMG	20000424	10:30:02	42.5
AMGN	20000424	10:30:02	52.375
AMZN	20000424	10:30:02	46.9375
ANCR	20000424	10:30:02	20.5
AOL	20000424	10:30:02	57.125
AOL	20000424	10:30:02	57.1875
AOL	20000424	10:30:02	61.375
APOL	20000424	10:30:02	24.375
ARIA	20000424	10:30:02	10.6875
ATHM	20000424	10:30:02	17.0625
AVNX	20000424	10:30:02	70
BA	20000424	10:30:02	39.5
BBRC	20000424	10:30:02	56
BDK	20000424	10:30:02	41.875
BEL	20000424	10:30:02	60.625
BGEN	20000424	10:30:02	51
BMY	20000424	10:30:02	49.8125
BRCD	20000424	10:30:02	92.25
BRCM	20000424	10:30:02	142.25
BRCM	20000424	10:30:02	142.25
BRCM	20000424	10:30:02	142.3125
BTH	20000424	10:30:02	30.5625
BVSN	20000424	10:30:02	32.0625
CBDR	20000424	10:30:02	2.53125
CBMI	20000424	10:30:02	6.125
CHKP	20000424	10:30:02	150.5
CHTR	20000424	10:30:02	14.375
CLPA	20000424	10:30:02	23.5
CLPA	20000424	10:30:02	23.5
CMGI	20000424	10:30:02	50.9375
CMVT	20000424	10:30:02	74.875
CNET	20000424	10:30:02	32.625
CNXT	20000424	10:30:02	56.125
CNXT	20000424	10:30:02	56.25
COGN	20000424	10:30:02	64.5625
COHU	20000424	10:30:02	32.0625
COMS	20000424	10:30:02	36.875
COMS	20000424	10:30:02	36.875
COMS	20000424	10:30:02	36.875
CRXA	20000424	10:30:02	26.5
CSCO	20000424	10:30:02	61.125
CSCO	20000424	10:30:02	61.0625
CSCO	20000424	10:30:02	61.125
DISH	20000424	10:30:02	45.625
EAGL	20000424	10:30:02	26.484375
EGLO	20000424	10:30:02	5.625
EIX	20000424	10:30:02	18.125
ENE	20000424	10:30:02	70.8125
ENTU	20000424	10:30:02	37.1875
EXDS	20000424	10:30:02	86.6875
EXDS	20000424	10:30:02	86.6875
EXDS	20000424	10:30:02	86.640625
F	20000424	10:30:02	55.1875
FFIV	20000424	10:30:02	47.75
FPL	20000424	10:30:02	45.25
FRE	20000424	10:30:02	48.3125
FSCO	20000424	10:30:02	14.5
GBLX	20000424	10:30:02	25.125
GDT	20000424	10:30:02	55.3125
GE	20000424	10:30:02	157.5
GF	20000424	10:30:02	12.9375
GSPN	20000424	10:30:02	55.1875
GZTC	20000424	10:30:02	15.375
H	20000424	10:30:02	35.3125
HUM	20000424	10:30:02	8.5
IBI	20000424	10:30:02	41.3125
IBM	20000424	10:30:02	101.6875
ICGE	20000424	10:30:02	36.3125
ICGE	20000424	10:30:02	36.3125
IDPH	20000424	10:30:02	56.75
IFMX	20000424	10:30:02	10.5625
IFMX	20000424	10:30:02	10.625
INSP	20000424	10:30:02	50.125
INTC	20000424	10:30:02	110.828125
INTC	20000424	10:30:02	110.75
INTU	20000424	10:30:02	32.0625
JDEC	20000424	10:30:02	15.25
JKHY	20000424	10:30:02	36.1875
JNJ	20000424	10:30:02	82.75
JUNI	20000424	10:30:02	1.0625
KO	20000424	10:30:02	50
KTC	20000424	10:30:02	36.25
LIN	20000424	10:30:02	31.5
MAFB	20000424	10:30:02	15.75
MCD	20000424	10:30:02	37.1875
MCLD	20000424	10:30:02	61.25
MCOM	20000424	10:30:02	24.375
MER	20000424	10:30:02	98.4375
MRO	20000424	10:30:02	24.0625
MSFT	20000424	10:30:02	65.9375
MSFT	20000424	10:30:02	65.875
MSFT	20000424	10:30:02	65.5
MSFT	20000424	10:30:02	65.9375
MSFT	20000424	10:30:02	65.875
MTMC	20000424	10:30:02	8.5
NGH	20000424	10:30:02	13.0625
NIO	20000424	10:30:02	12.375
NOI	20000424	10:30:02	27.25
OMKT	20000424	10:30:02	8.5
OMKT	20000424	10:30:02	8.5
ONXS	20000424	10:30:02	23
ORCL	20000424	10:30:02	68.5
PALM	20000424	10:30:02	28.125
PCLE	20000424	10:30:02	24.4375
PCLE	20000424	10:30:02	24.4375
PILT	20000424	10:30:02	12.125
PILT	20000424	10:30:02	12.125
PPRO	20000424	10:30:02	30
PUMA	20000424	10:30:02	23.25
QCOM	20000424	10:30:02	99.5
QLGC	20000424	10:30:02	68
QTRN	20000424	10:30:02	13.625
RAD	20000424	10:30:02	5.5625
RFMD	20000424	10:30:02	80.375
RNWK	20000424	10:30:02	33.0625
ROAD	20000424	10:30:02	22.5
SCON	20000424	10:30:02	20.5
SEE	20000424	10:30:02	54.8125
SFS	20000424	10:30:02	8.4375
