7	25	12	200	100	1	5	5	0	0
35	2	12	0	100	1	5	5	0	0
70	1	12	0	100	1	5	5	0	0
105	20	12	0	100	1	5	5	0	0
118	18	12	0	100	1	5	5	0	0
201	4	12	200	100	1	5	5	0	0
229	14	12	0	100	1	5	5	0	0
248	15	12	200	100	1	5	5	0	0
254	18	12	0	100	1	5	5	0	0
258	22	12	0	100	1	5	5	0	0
282	21	12	200	100	1	5	5	0	0
284	9	12	200	100	1	5	5	0	0
313	21	12	200	100	1	5	5	0	0
412	8	12	0	100	1	5	5	0	0
432	29	12	0	100	1	5	5	0	0
457	5	12	0	100	1	5	5	0	0
463	18	12	200	100	1	5	5	0	0
464	6	12	0	100	1	5	5	0	0
470	23	12	0	100	1	5	5	0	0
499	19	12	0	100	1	5	5	0	0
511	19	12	200	100	1	5	5	0	0
516	26	12	200	100	1	5	5	0	0
534	19	12	200	100	1	5	5	0	0
552	12	12	0	100	1	5	5	0	0
564	11	12	0	100	1	5	5	0	0
656	16	12	200	100	1	5	5	0	0
721	18	12	200	100	1	5	5	0	0
816	13	12	200	100	1	5	5	0	0
820	3	12	200	100	1	5	5	0	0
877	7	12	200	100	1	5	5	0	0
884	0	12	0	100	1	5	5	0	0
898	27	12	0	100	1	5	5	0	0
899	24	12	0	100	1	5	5	0	0
912	10	12	0	100	1	5	5	0	0
959	28	12	200	100	1	5	5	0	0
962	19	12	200	100	1	5	5	0	0
975	21	12	0	100	1	5	5	0	0
985	17	12	200	100	1	5	5	0	0
1001	6	12	200	100	1	5	5	0	0
1002	46	12	200	100	1	5	5	0	0
1004	36	12	0	100	1	5	5	0	0
1005	39	12	0	100	1	5	5	0	0
1020	54	12	200	100	1	5	5	0	0
1045	21	12	200	100	1	5	5	0	0
1046	38	12	200	100	1	5	5	0	0
1056	18	12	0	100	1	5	5	0	0
1082	49	12	200	100	1	5	5	0	0
1099	18	12	0	100	1	5	5	0	0
1107	19	12	0	100	1	5	5	0	0
1119	21	12	0	100	1	5	5	0	0
1183	21	12	0	100	1	5	5	0	0
1187	40	12	0	100	1	5	5	0	0
1204	19	12	200	100	1	5	5	0	0
1217	26	12	200	100	1	5	5	0	0
1232	47	12	0	100	1	5	5	0	0
1256	31	12	0	100	1	5	5	0	0
1267	30	12	200	100	1	5	5	0	0
1283	19	12	200	100	1	5	5	0	0
1300	50	12	200	100	1	5	5	0	0
1301	41	12	0	100	1	5	5	0	0
1336	32	12	0	100	1	5	5	0	0
1336	48	12	0	100	1	5	5	0	0
1360	19	12	0	100	1	5	5	0	0
1388	45	12	0	100	1	5	5	0	0
1402	18	12	200	100	1	5	5	0	0
1441	18	12	200	100	1	5	5	0	0
1444	19	12	200	100	1	5	5	0	0
1444	44	12	200	100	1	5	5	0	0
1458	25	12	0	100	1	5	5	0	0
1460	18	12	200	100	1	5	5	0	0
1501	44	12	200	100	1	5	5	0	0
1516	21	12	200	100	1	5	5	0	0
1541	21	12	0	100	1	5	5	0	0
1552	18	12	200	100	1	5	5	0	0
